location,parameter,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
2912 Coffey,pm25,US,Omaha-Council Bluffs,00:00.0,41.133317,-95.956078,8.5
ADEQ-DSR,pm25,US,Little Rock-North Little Rock,00:00.0,34.6811,-92.3283,13.45
AIR LAB,pm25,US,Knoxville,00:00.0,35.9803,-83.9306,8.178571429
ALLEN PARK,pm25,US,Detroit-Warren-Livonia,00:00.0,42.2283,-83.2092,5.178571429
APOLLO BEACH,pm25,US,HILLSBOROUGH,00:00.0,27.779712,-82.419835,2.6
APPLETON AAL,pm25,US,Appleton,00:00.0,44.3069,-88.3956,6.357142857
ARNOLD WEST,pm25,US,St. Louis,00:00.0,38.448581,-90.398436,14.71666667
ATHENS,pm25,US,Athens,00:00.0,35.4511,-84.5992,6.25
Aberdeen-Division St,pm25,US,Aberdeen,00:00.0,46.9772,-123.8317,4.476923077
Acadia NP - McFarlan,pm25,US,HANCOCK,00:00.0,44.377048,-68.260902,1.235714286
Adams,pm25,US,Denver-Aurora,00:00.0,39.828387,-104.938463,15.13846154
Alamo Lake,pm25,US,LA PAZ,00:00.0,34.243889,-113.558611,3.571428571
Albany,pm25,US,Albany,00:00.0,31.5767,-84.1002,4.219230769
Albany - Calapooia S,pm25,US,Albany-Lebanon,00:00.0,44.61569,-123.091457,9.321428571
Albemarle HS,pm25,US,Charlottesville,00:00.0,38.076599,-78.503998,14.11428571
Allentown,pm25,US,Allentown-Bethlehem-Easton,00:00.0,40.6119,-75.4325,6.342857143
Alpine,pm25,US,San Diego-Carlsbad-San Marcos,00:00.0,32.842297,-116.768326,6.95
Altoona,pm25,US,Altoona,00:00.0,40.515,-78.3889,9.135714286
Anacortes-202 Ave (S,pm25,US,SKAGIT,00:00.0,48.52059,-122.61428,5.5
Anacortes-Bartholome,pm25,US,SKAGIT,00:00.0,48.465401,-122.559998,1.464285714
Anaheim,pm25,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.830586,-117.938509,18.24285714
Anderson-Eastside El,pm25,US,Anderson,00:00.0,40.125557,-85.652222,18.07857143
Anthony,pm25,US,Las Cruces,00:00.0,32.0036,-106.5992,20.45454545
Apple Valley,pm25,US,Minneapolis-St. Paul-Bloomington,00:00.0,44.7383,-93.2372,15.71428571
Arden Arcade - Del P,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.613804,-121.368007,15.78571429
Ascarate Park Southe,pm25,US,El Paso,00:00.0,31.7467,-106.402802,10.32142857
Ashland Fire Dept,pm25,US,JACKSON,00:00.0,42.1941,-122.7086,8.721428571
Atascadero2,pm25,US,San Luis Obispo-Paso Robles,00:00.0,35.494556,-120.666203,9.769230769
Athens,pm25,US,Athens-Clarke County,00:00.0,33.925,-83.3575,12.43333333
Auburn,pm25,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.937801,-121.103897,6.666666667
Auburn M St SE,pm25,US,Seattle-Tacoma-Bellevue,00:00.0,47.2875,-122.2144,4.636363636
Augusta,pm25,US,Augusta-Richmond County,00:00.0,33.4333,-82.0219,6.6
Austin Northwest C3,pm25,US,Austin-Round Rock,00:00.0,30.3542,-97.760002,6.076923077
BAY CITY,pm25,US,Bay City,00:00.0,43.5714,-83.8908,2.542857143
BDED,pm25,US,Asheville,00:00.0,35.6062,-82.5844,4.871428571
