location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
2912 Coffey,pm25,µg/m³,US,Omaha-Council Bluffs,2019-11-16 16:00:00.000000,41.133317,-95.956078,8.5
ADEQ-DSR,pm25,µg/m³,US,Little Rock-North Little Rock,2019-11-16 10:00:00.000000,34.6811,-92.3283,13.45
AIR LAB,pm25,µg/m³,US,Knoxville,2019-11-16 16:00:00.000000,35.9803,-83.9306,8.17857142857143
ALLEN PARK,pm25,µg/m³,US,Detroit-Warren-Livonia,2019-11-16 16:00:00.000000,42.2283,-83.2092,5.17857142857143
APOLLO BEACH,pm25,µg/m³,US,HILLSBOROUGH,2019-11-16 16:00:00.000000,27.779712,-82.419835,2.6
APPLETON AAL,pm25,µg/m³,US,Appleton,2019-11-16 16:00:00.000000,44.3069,-88.3956,6.35714285714286
ARNOLD WEST,pm25,µg/m³,US,St. Louis,2019-11-16 16:00:00.000000,38.448581,-90.398436,14.7166666666667
ATHENS,pm25,µg/m³,US,Athens,2019-11-16 16:00:00.000000,35.4511,-84.5992,6.25
Aberdeen-Division St,pm25,µg/m³,US,Aberdeen,2019-11-16 16:00:00.000000,46.9772,-123.8317,4.47692307692308
Acadia NP - McFarlan,pm25,µg/m³,US,HANCOCK,2019-11-16 16:00:00.000000,44.377048,-68.260902,1.23571428571429
Adams,pm25,µg/m³,US,Denver-Aurora,2019-11-16 16:00:00.000000,39.828387,-104.938463,15.1384615384615
Alamo Lake,pm25,µg/m³,US,LA PAZ,2019-11-16 16:00:00.000000,34.243889,-113.558611,3.57142857142857
Albany,pm25,µg/m³,US,Albany,2019-11-16 16:00:00.000000,31.5767,-84.1002,4.21923076923077
Albany - Calapooia S,pm25,µg/m³,US,Albany-Lebanon,2019-11-16 16:00:00.000000,44.61569,-123.091457,9.32142857142857
Albemarle HS,pm25,µg/m³,US,Charlottesville,2019-11-16 16:00:00.000000,38.076599,-78.503998,14.1142857142857
