location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
77th and Dodge,co,ppm,US,Omaha-Council Bluffs,00:00.0,41.259478,-96.034714,0.356065574
ALLEN PARK,co,ppm,US,Detroit-Warren-Livonia,00:00.0,42.2283,-83.2092,0.00015873
AURORA HILLS,co,ppm,US,Washington-Arlington-Alexandria,00:00.0,38.859402,-77.058899,0.490163934
Anaheim,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.830586,-117.938509,0.456393443
Anaheim Near Road,co,ppm,US,ORANGE,00:00.0,33.819305,-117.918759,0.725806452
Arden Arcade - Del P,co,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.613804,-121.368007,0.357288136
Azusa,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.136474,-117.923963,0.523015873
BLAIR STREET,co,ppm,US,St. Louis,00:00.0,38.656449,-90.198548,0.563214286
Bakersfield-Muni,co,ppm,US,Bakersfield,00:00.0,35.3313,-119,0.35
Bercut Dr,co,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.593328,-121.503728,0.3
Berkeley Aquatic Par,co,ppm,US,ALAMEDA,00:00.0,37.864767,-122.302741,0.588392857
Bethel Island,co,ppm,US,San Francisco-Oakland-Fremont,00:00.0,38.006311,-121.641918,0.290392157
Blaine,co,ppm,US,Minneapolis-St. Paul-Bloomington,00:00.0,45.1425,-93.2139,0.185084746
Blue Ridge I-70,co,ppm,US,Kansas City,00:00.0,39.047911,-94.450513,0.401111111
Bondville,co,ppm,US,Champaign-Urbana,00:00.0,40.0519,-88.3724,0.037560976
Boston - Roxbury,co,ppm,US,Boston-Cambridge-Quincy,00:00.0,42.329399,-71.082497,0.30557377
Boston-Von Hillern,co,ppm,US,SUFFOLK,00:00.0,42.325197,-71.056056,0.2018
Bridgeport,co,ppm,US,Bridgeport-Stamford-Norwalk,00:00.0,41.171398,-73.195297,0.390333333
Buckeye,co,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.37,-112.6207,0.201666667
Burdens Creek,co,ppm,US,Durham,00:00.0,35.889402,-78.8747,0.235932203
Burlington,co,ppm,US,Burlington-South Burlington,00:00.0,44.476101,-73.210297,0.250847458
Calexico - Ethel Str,co,ppm,US,El Centro,00:00.0,32.67618,-115.48307,0.733409091
Camden Spruce St,co,ppm,US,Philadelphia-Camden-Wilmington,00:00.0,39.934446,-75.125291,0.197777778
Cannons Lane,co,ppm,US,Louisville,00:00.0,38.2286,-85.6544,0.243492063
