location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
22nd Street & Craycr,o3,ppm,US,Tucson,00:00.0,32.205,-110.8772,0.027466667
2LL Los Lunas,o3,ppm,US,Albuquerque,00:00.0,34.8147,-106.7397,0.009454545
AJ Maintenance Yard,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.420601,-111.503304,0.043785714
ALLEN PARK,o3,ppm,US,Detroit-Warren-Livonia,00:00.0,42.2283,-83.2092,0.0146
ALSIP,o3,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.6708,-87.7325,0.003
Abington,o3,ppm,US,Willimantic,00:00.0,41.8402,-72.01,0.035076923
Acadia NP - McFarlan,o3,ppm,US,HANCOCK,00:00.0,44.377048,-68.260902,0.035642857
Alamo Lake,o3,ppm,US,LA PAZ,00:00.0,34.243889,-113.558611,0.03
Albany,o3,ppm,US,Muncie,00:00.0,40.3,-85.245556,0.017230769
Alhambra,o3,ppm,US,St. Louis,00:00.0,38.869,-89.6228,0.020833333
Allentown,o3,ppm,US,Allentown-Bethlehem-Easton,00:00.0,40.6119,-75.4325,0.032666667
Alpine,o3,ppm,US,San Diego-Carlsbad-San Marcos,00:00.0,32.842297,-116.768326,0.032916667
Altoona,o3,ppm,US,Altoona,00:00.0,40.515,-78.3889,0.033066667
Amherst,o3,ppm,US,Buffalo-Niagara Falls,00:00.0,42.9925,-78.7764,0.022428571
Anacortes-202 Ave (S,o3,ppm,US,SKAGIT,00:00.0,48.52059,-122.61428,0.025571429
Anaheim,o3,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.830586,-117.938509,0.002866667
Anderson,o3,ppm,US,Redding,00:00.0,40.4531,-122.2978,0.007785714
Ann Arbor,o3,ppm,US,Ann Arbor,00:00.0,42.4164,-83.9019,0.025769231
Antelope - North Hig,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.71209,-121.38109,0.006466667
Archbold Biomedical,o3,ppm,US,Sebring,00:00.0,27.1889,-81.3403,0.021555556
Arden Arcade - Del P,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.613804,-121.368007,0.004866667
Arendtsville,o3,ppm,US,Gettysburg,00:00.0,39.9231,-77.3078,0.033
Arlington Municipal,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.6558,-97.0886,0.005571429
Arvin - Di Giorgio S,o3,ppm,US,KERN,00:00.0,35.23918,-118.78863,0.012153846
Ascarate Park Southe,o3,ppm,US,El Paso,00:00.0,31.7467,-106.402802,0.003285714
Ashland,o3,ppm,US,AROOSTOOK,00:00.0,46.604,-68.4135,0.033769231
Atascadero2,o3,ppm,US,San Luis Obispo-Paso Robles,00:00.0,35.494556,-120.666203,0.014733333
Auburn,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.937801,-121.103897,0.023
Audubon C38,o3,ppm,US,Austin-Round Rock,00:00.0,30.483168,-97.8723,0.014428571
Aurora East,o3,ppm,US,ARAPAHOE,00:00.0,39.638542,-104.569061,0.030615385
Austin Northwest C3,o3,ppm,US,Austin-Round Rock,00:00.0,30.3542,-97.760002,0.006230769
Avon,o3,ppm,US,Indianapolis,00:00.0,39.7589,-86.3972,0.018142857
